Date,Net_Income,Total_Revenue,Total_amount_of_Invoice,Total_amount_of_Bill,Total_Cost_of_Sales,Gross_Profit,Total_Operating_Expenses,Total_Assets,Total_Current_Liabilities,Total_Liabilities,Total_Equity,Total_Liabilities_and_Equity
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,-2000.0,0.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,-2000.0,0.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,-2000.0,0.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,-2000.0,0.0
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,-2000.0,0.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,-2000.0,0.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,-2000.0,0.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,-2000.0,0.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,-2000.0,0.0
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.98,6130.98,6130.98,-2000.0,4130.98
2019-07-01,367.67,457.67,500.0,90.0,0.0,457.67,90.0,4630.98,6263.31,6263.31,-1632.33,4630.98
2019-08-01,362.17,457.67,500.0,95.5,0.0,457.67,95.5,5040.98,6311.14,6311.14,-1270.16,5040.98
2019-09-01,360.67,457.67,500.0,97.0,0.0,457.67,97.0,5445.48,6354.97,6354.97,-909.49,5445.48
2019-10-01,823.34,915.34,1000.0,92.0,0.0,915.34,92.0,6348.48,6434.63,6434.63,-86.15,6348.48
2019-11-01,368.67,457.67,500.0,89.0,0.0,457.67,89.0,6756.48,6473.96,6473.96,282.52,6756.48
2019-12-01,366.67,457.67,500.0,91.0,0.0,457.67,91.0,7167.48,6518.29,6518.29,649.19,7167.48
2020-01-01,247567.95,247664.2,250348.82,96.25,0.0,247664.2,96.25,257425.3,9208.16,9208.16,248217.14,257425.3
2020-02-01,51947.77,52048.37,104152.95,100.6,0.0,52048.37,100.6,361482.0,10775.84,10775.84,350706.16,361482.0
2020-03-01,53238.89,54344.64,56117.78,3005.75,0.0,54344.64,1105.75,419053.74,15108.69,15108.69,403945.05,419053.74
2020-04-01,24801.17,24907.67,25182.68,106.5,0.0,24907.67,106.5,441500.67,12754.45,12754.45,428746.22,441500.67
2020-05-01,248375.83,251178.14,267409.65,17035.96,0.0,251178.14,2802.31,695219.86,18097.81,18097.81,677122.05,695219.86
2020-06-01,206057.95,207853.71,57317.9,1450.56,0.0,207853.71,1795.76,901875.81,18695.81,18695.81,883180.0,901875.81
2020-07-01,501574.41,539157.57,250061.98,12770.36,1540.0,537617.57,36043.16,1400516.23,15761.82,15761.82,1384754.41,1400516.23
2020-08-01,987114.88,1091665.31,738446.24,37065.9,88002.2,1003663.11,16548.23,2450141.19,78271.9,78271.9,2371869.29,2450141.19
2020-09-01,103696.85,157909.85,161310.81000000006,54613.0,36213.0,121696.85,18000.0,2564616.07,115447.43,115447.43,2449168.64,2564616.07
